Overs,Maidens,Runs,Wickets,Economy,Average,Strike Rate,Opposition Rank,Opposition Index,Opposition,Ground,Home/Away,Start Date,Win/Loss,Balls Whole,Balls Decimal,Total Balls Bowled,0s,1s,2s,3s,Control,Exp Control,Pitch,Pitch Index,Weather,Full Impact,Discrete Impact,Impact
10,0,50,2,5,25,30,6,4,v Sri Lanka,Harare,Neutral,05-Jun-10,Loss,60,0,60,31,22,2,0,0.708333333,2.030604096,Dead/Flat,2,Clear,4.030604096,4,1
9,0,34,1,3.77,34,54,1,5,v Australia,Visakhapatnam,Home,20-Oct-10,Win,54,0,54,22,30,2,0,0.694444444,2.002596211,Dead/Flat,2,Sunny,3.002596211,3,1
10,1,50,3,5,16.66,20,4,4,v New Zealand,Guwahati,Home,28-Nov-10,Win,60,0,60,35,17,2,0,0.733333333,2.082009083,Green,1.5,Clear,5.082009083,5,1
10,0,52,1,5.2,52,60,4,4,v New Zealand,Jaipur,Home,01-Dec-10,Win,60,0,60,24,28,4,0,0.65,1.915540829,Dead/Flat,2,Clear,2.915540829,2,0
9,1,49,2,5.44,24.5,27,4,4,v New Zealand,Vadodara,Home,04-Dec-10,Win,54,0,54,31,13,5,0,0.717592593,2.049493302,Dead/Flat,2,Sunny,4.049493302,4,1
10,0,66,2,6.6,33,30,4,4,v New Zealand,Bengaluru,Home,07-Dec-10,Win,60,0,60,26,23,2,0,0.633333333,1.883879723,Dead/Flat,2,Overcast,3.883879723,3,1
8,1,24,3,3,8,16,4,4,v New Zealand,Chennai,Home,10-Dec-10,Win,48,0,48,32,9,3,1,0.776041667,2.172854339,Dead/Flat,2,Overcast,5.172854339,5,1
10,0,41,2,4.1,20.5,30,8,3,v West Indies,Chennai,Home,20-Mar-11,Win,60,0,60,34,24,1,0,0.770833333,2.161566808,Dead/Flat,2,Clear,4.161566808,4,1
10,0,52,2,5.2,26,30,1,5,v Australia,Ahmedabad,Home,24-Mar-11,Win,60,0,60,30,23,2,0,0.7,2.013752707,Dusty/Dry,1,Clear,4.013752707,4,1
10,1,39,1,3.9,39,60,9,3,v West Indies,North Sound,Away,13-Jun-11,Loss,60,0,60,35,16,4,2,0.733333333,2.082009083,Dead/Flat,2,Sunny,3.082009083,3,1
10,1,50,0,5,,,9,3,v West Indies,Kingston,Away,16-Jun-11,Loss,60,0,60,38,14,2,1,0.758333333,2.134715394,Dead/Flat,2,Clear,2.134715394,2,0
,,,,,,,5,4,v England,Chester-le-Street,Away,03-Sep-11,No Result,,,,,,,,,,Green,1.5,Overcast,,,
5,0,42,2,8.4,21,15,5,4,v England,Southampton,Away,06-Sep-11,Loss,30,0,30,10,12,4,1,0.566666667,1.762382641,Green,1.5,Overcast,3.762382641,3,1
9,0,40,3,4.44,13.33,18,5,4,v England,The Oval,Away,09-Sep-11,Loss,54,0,54,26,20,4,1,0.685185185,1.984139234,Green,1.5,Overcast,4.984139234,4,1
10,0,44,1,4.4,44,60,5,4,v England,Lord's,Away,11-Sep-11,Draw,60,0,60,29,24,4,0,0.7,2.013752707,Green,1.5,Clear,3.013752707,3,1
4,0,25,0,6.25,,,5,4,v England,Cardiff,Away,16-Sep-11,Loss,24,0,24,4,15,5,0,0.53125,1.701057302,Green,1.5,Overcast,1.701057302,1,0
8.1,0,35,3,4.28,11.66,16.3,5,4,v England,Hyderabad (Deccan),Home,14-Oct-11,Win,48,1,49,25,20,2,0,0.724489796,2.063677935,Dead/Flat,2,Clear,5.063677935,5,1
10,0,56,1,5.6,56,60,5,4,v England,Delhi,Home,17-Oct-11,Win,60,0,60,26,27,2,0,0.666666667,1.947734042,Dead/Flat,2,Clear,2.947734042,2,0
10,0,45,0,4.5,,,5,4,v England,Mohali,Home,20-Oct-11,Win,60,0,60,24,31,3,0,0.670833333,1.95586653,Green,1.5,Clear,1.95586653,1,0
10,0,38,3,3.8,12.66,20,5,4,v England,Wankhede,Home,23-Oct-11,Win,60,0,60,33,24,0,0,0.75,2.117000017,Dead/Flat,2,Sunny,5.117000017,5,1
9,0,28,3,3.11,9.33,18,5,4,v England,Kolkata,Home,25-Oct-11,Win,54,0,54,33,19,1,0,0.791666667,2.207071816,Dusty/Dry,1,Clear,5.207071816,5,1
10,1,30,1,3,30,60,9,3,v West Indies,Cuttack,Home,29-Nov-11,Win,60,0,60,39,17,2,0,0.8,2.225540928,Dead/Flat,2,Clear,3.225540928,3,1
10,0,74,1,7.4,74,60,9,3,v West Indies,Visakhapatnam,Home,02-Dec-11,Win,60,0,60,31,15,5,0,0.6625,1.939635367,Dead/Flat,2,Overcast,2.939635367,2,0
10,0,33,1,3.3,33,60,9,3,v West Indies,Ahmedabad,Home,05-Dec-11,Loss,60,0,60,34,22,2,0,0.758333333,2.134715394,Dead/Flat,2,Clear,3.134715394,3,1
10,0,59,1,5.9,59,60,9,3,v West Indies,Indore,Home,08-Dec-11,Win,60,0,60,32,18,1,0,0.6875,1.98873747,Dusty/Dry,1,Clear,2.98873747,2,0
5,0,48,0,9.6,,,1,5,v Australia,Melbourne,Away,05-Feb-12,Loss,30,0,30,7,11,6,3,0.466666667,1.594669759,Dusty/Dry,1,Overcast,1.594669759,1,0
10,1,32,3,3.2,10.66,20,3,5,v Sri Lanka,Perth,Neutral,08-Feb-12,Win,60,0,60,31,24,3,0,0.729166667,2.073352095,Dusty/Dry,1,Clear,5.073352095,5,1
8,0,47,0,5.87,,,1,5,v Australia,Adelaide,Away,12-Feb-12,Win,48,0,48,19,20,3,,0.619791667,1.858540806,Dead/Flat,2,Clear,1.858540806,1,0
10,1,30,2,3,15,30,3,5,v Sri Lanka,Adelaide,Neutral,14-Feb-12,Draw,60,0,60,35,20,5,0,0.770833333,2.161566808,Dead/Flat,2,Clear,4.161566808,4,1
10,0,50,2,5,25,30,3,5,v Sri Lanka,Brisbane,Neutral,21-Feb-12,Loss,60,0,60,30,22,4,0,0.7,2.013752707,Green,1.5,Clear,4.013752707,4,1
10,0,45,0,4.5,,,1,5,v Australia,Sydney,Away,26-Feb-12,Loss,60,0,60,27,27,3,0,0.6875,1.98873747,Dusty/Dry,1,Overcast,1.98873747,1,0
10,0,52,0,5.2,,,3,5,v Sri Lanka,Hobart,Neutral,28-Feb-12,Win,60,0,60,22,30,1,2,0.620833333,1.860477794,Dead/Flat,2,Sunny,1.860477794,1,0
9,0,39,3,4.33,13,18,3,5,v Sri Lanka,Mirpur,Neutral,13-Mar-12,Win,54,0,54,31,20,0,0,0.759259259,2.136692898,Green,1.5,Sunny,5.136692898,5,1
10,0,56,1,5.6,56,60,8,3,v Bangladesh,Mirpur,Away,16-Mar-12,Loss,60,0,60,21,33,2,0,0.633333333,1.883879723,Dead/Flat,2,Sunny,2.883879723,2,0
10,0,56,1,5.6,56,60,6,4,v Pakistan,Mirpur,Neutral,18-Mar-12,Win,60,0,60,21,33,1,1,0.629166667,1.876046556,Dead/Flat,2,Sunny,2.876046556,2,0
10,1,46,2,4.6,23,30,5,4,v Sri Lanka,Hambantota,Away,21-Jul-12,Win,60,0,60,30,22,2,3,0.691666667,1.997041164,Dead/Flat,2,Sunny,3.997041164,3,1
5,1,18,1,3.6,18,30,5,4,v Sri Lanka,Hambantota,Away,24-Jul-12,Loss,30,0,30,18,7,3,1,0.741666667,2.099431654,Green,1.5,Sunny,3.099431654,3,1
10,0,50,0,5,,,5,4,v Sri Lanka,Colombo (RPS),Away,28-Jul-12,Win,60,0,60,25,26,5,0,0.654166667,1.923538901,Green,1.5,Sunny,1.923538901,1,0
10,1,46,2,4.6,23,30,5,4,v Sri Lanka,Colombo (RPS),Away,31-Jul-12,Win,60,0,60,30,20,7,0,0.695833333,2.005379527,Dusty/Dry,1,Sunny,4.005379527,4,1
9,0,37,0,4.11,,,5,4,v Sri Lanka,Pallekele,Away,04-Aug-12,Win,54,0,54,28,21,2,0,0.722222222,2.059003694,Dead/Flat,2,Overcast,2.059003694,2,0
10,0,34,0,3.4,,,6,4,v Pakistan,Chennai,Home,30-Dec-12,Loss,60,0,60,31,23,4,0,0.725,2.0647311,Green,1.5,Overcast,2.0647311,2,0
10,0,49,1,4.9,49,60,6,4,v Pakistan,Kolkata,Home,03-Jan-13,Loss,60,0,60,33,17,5,0,0.7125,2.039082598,Dusty/Dry,1,Overcast,3.039082598,3,1
10,1,47,2,4.7,23.5,30,6,4,v Pakistan,Delhi,Home,06-Jan-13,Win,60,0,60,34,22,1,0,0.754166667,2.125839253,Dusty/Dry,1,Overcast,4.125839253,4,1
9,0,61,0,6.77,,,2,5,v England,Rajkot,Home,11-Jan-13,Loss,54,0,54,19,26,3,0,0.606481481,1.833967185,Dusty/Dry,1,Clear,1.833967185,1,0
7,0,39,3,5.57,13,14,2,5,v England,Kochi,Home,15-Jan-13,Win,42,0,42,22,13,2,0,0.69047619,1.994665147,Dead/Flat,2,Clear,4.994665147,4,1
10,0,37,2,3.7,18.5,30,2,5,v England,Ranchi,Home,19-Jan-13,Win,60,0,60,25,20,4,0,0.6,1.8221188,Dead/Flat,2,Clear,3.8221188,3,1
10,0,63,2,6.3,31.5,30,2,5,v England,Mohali,Home,23-Jan-13,Win,60,0,60,26,23,3,0,0.6375,1.891745599,Green,1.5,Overcast,3.891745599,3,1
