Overs,Maidens,Runs,Wickets,Economy,Average,Strike Rate,Opposition Rank,Opposition Index,Opposition,Ground,Home/Away,Start Date,Win/Loss,Balls Whole,Balls Decimal,Total Balls Bowled,0s,1s,2s,3s,Control,Exp Control,Pitch,Pitch Index,Weather,Full Impact,Discrete Impact,Impact
10,0,47,1,4.7,47,60,3,5,v India,Karachi,Home,02-Jul-08,Win,10,0,60,25,30,2,0,0.808333333,2.244164594,Dead/Flat,2,Sunny,3.244164594,3,1
8.2,0,19,2,2.28,9.5,25,9,3,v Bangladesh,Karachi,Home,04-Jul-08,Win,8,2,50,41,6,2,0,0.93,2.534509178,Dead/Flat,2,Sunny,4.534509178,4,1
9,1,38,1,4.22,38,54,8,3,v West Indies,Abu Dhabi,Home,14-Nov-08,Win,9,0,54,29,18,5,0,0.833333333,2.300975891,Dusty/Dry,1,Sunny,3.300975891,3,1
10,0,35,0,3.5,,,8,3,v West Indies,Abu Dhabi,Home,16-Nov-08,Win,10,0,60,34,22,3,0,0.866666667,2.37896773,Green,1.5,Sunny,2.37896773,2,0
9,0,51,0,5.66,,,7,3,v Sri Lanka,Lahore,Home,24-Jan-09,Loss,9,0,54,22,21,6,3,0.768518519,2.156568969,Dusty/Dry,1,Overcast,2.156568969,2,0
10,1,19,2,1.9,9.5,30,2,5,v Australia,Dubai (DSC),Home,22-Apr-09,Win,10,0,60,45,11,4,0,0.920833333,2.511382337,Dead/Flat,2,Sunny,4.511382337,4,1
7,0,37,1,5.28,37,42,2,5,v Australia,Dubai (DSC),Home,24-Apr-09,Loss,7,0,42,25,9,4,3,0.821428571,2.273745727,Dusty/Dry,1,Sunny,3.273745727,3,1
9,0,42,0,4.66,,,2,5,v Australia,Abu Dhabi,Home,27-Apr-09,Loss,9,0,54,30,16,4,0,0.814814815,2.258757345,Dusty/Dry,1,Sunny,2.258757345,2,0
10,1,20,0,2,,,2,5,v Australia,Abu Dhabi,Home,01-May-09,Loss,10,0,60,47,9,4,0,0.929166667,2.532397966,Dusty/Dry,1,Sunny,2.532397966,2,0
10,0,40,1,4,40,60,2,5,v Australia,Abu Dhabi,Home,03-May-09,Win,10,0,60,31,25,3,0,0.854166667,2.349415718,Dusty/Dry,1,Sunny,3.349415718,3,1
10,0,40,1,4,40,60,7,3,v Sri Lanka,Dambulla,Away,30-Jul-09,Loss,10,0,60,29,26,3,0,0.833333333,2.300975891,Green,1.5,Overcast,3.300975891,3,1
6,0,21,0,3.5,,,7,3,v Sri Lanka,Dambulla,Away,01-Aug-09,Loss,6,0,36,18,16,0,0,0.833333333,2.300975891,Dusty/Dry,1,Overcast,2.300975891,2,0
9,0,54,2,6,27,27,7,3,v Sri Lanka,Dambulla,Away,03-Aug-09,Loss,9,0,54,25,20,2,2,0.768518519,2.156568969,Dusty/Dry,1,Sunny,4.156568969,4,1
7,0,24,2,3.42,12,21,7,3,v Sri Lanka,Colombo (RPS),Away,07-Aug-09,Win,7,0,42,24,15,2,0,0.863095238,2.370486571,Dead/Flat,2,Windy,4.370486571,4,1
7,0,29,0,4.14,,,7,3,v Sri Lanka,Colombo (RPS),Away,09-Aug-09,Win,7,0,42,28,8,4,1,0.863095238,2.370486571,Dead/Flat,2,Clear,2.370486571,2,0
4,0,16,2,4,8,12,8,3,v West Indies,Johannesburg,Neutral,23-Sep-09,Win,4,0,24,17,4,0,0,0.833333333,2.300975891,Green,1.5,Clear,4.300975891,4,1
8.5,0,31,2,3.5,15.5,26.5,3,5,v India,Centurion,Neutral,26-Sep-09,Win,8,5,53,31,19,2,0,0.872641509,2.393224236,Dusty/Dry,1,Clear,4.393224236,4,1
10,1,31,2,3.1,15.5,30,2,5,v Australia,Centurion,Neutral,30-Sep-09,Loss,10,0,60,38,19,0,0,0.870833333,2.388900775,Dead/Flat,2,Overcast,4.388900775,4,1
8,0,39,2,4.87,19.5,24,4,4,v New Zealand,Johannesburg,Neutral,03-Oct-09,Loss,8,0,48,22,24,1,0,0.84375,2.32506966,Dead/Flat,2,Clear,4.32506966,4,1
7.2,0,18,2,2.45,9,22,4,4,v New Zealand,Abu Dhabi,Home,03-Nov-09,Win,7,2,44,29,13,4,0,0.926136364,2.524735649,Green,1.5,Sunny,4.524735649,4,1
10,0,59,0,5.9,,,4,4,v New Zealand,Abu Dhabi,Home,06-Nov-09,Loss,10,0,60,26,25,3,1,0.775,2.170592127,Dead/Flat,2,Sunny,2.170592127,2,0
10,0,33,4,3.3,8.25,15,4,4,v New Zealand,Abu Dhabi,Home,09-Nov-09,Loss,10,0,60,30,27,3,0,0.8625,2.369075986,Dead/Flat,2,Sunny,6.369075986,6,1
9.3,0,61,0,6.42,,,2,5,v Australia,Brisbane,Away,22-Jan-10,Loss,9,3,57,13,38,3,0,0.754385965,2.126305496,Dead/Flat,2,Clear,2.126305496,2,0
10,1,41,0,4.1,,,2,5,v Australia,Sydney,Away,24-Jan-10,Loss,10,0,60,33,21,1,2,0.829166667,2.291408437,Green,1.5,Clear,2.291408437,2,0
10,0,41,1,4.1,41,60,2,5,v Australia,Adelaide,Away,26-Jan-10,Loss,10,0,60,28,29,3,0,0.854166667,2.349415718,Dead/Flat,2,Sunny,3.349415718,3,1
10,0,55,2,5.5,27.5,30,2,5,v Australia,Perth,Away,29-Jan-10,Loss,10,0,60,25,25,7,0,0.7875,2.197894815,Dead/Flat,2,Sunny,4.197894815,4,1
10,0,56,3,5.6,18.66,20,2,5,v India,Dambulla,Neutral,19-Jun-10,Loss,10,0,60,25,25,6,2,0.7875,2.197894815,Dead/Flat,2,Sunny,5.197894815,5,1
9,0,58,4,6.44,14.5,13.5,5,4,v England,ChesterleStreet,Away,10-Sep-10,Loss,9,0,54,26,15,5,1,0.740740741,2.097488634,Green,1.5,Overcast,6.097488634,6,1
10,0,52,2,5.2,26,30,5,4,v England,Leeds,Away,12-Sep-10,Loss,10,0,60,28,23,4,1,0.791666667,2.207071816,Dead/Flat,2,Clear,4.207071816,4,1
9,0,42,1,4.66,42,54,5,4,v England,The Oval,Away,17-Sep-10,Win,9,0,54,26,21,3,2,0.810185185,2.248324304,Dead/Flat,2,Clear,3.248324304,3,1
7,0,31,2,4.42,15.5,21,5,4,v England,Lord's,Away,20-Sep-10,Win,7,0,42,16,23,2,0,0.81547619,2.260251726,Dead/Flat,2,Clear,4.260251726,4,1
8,0,50,0,6.25,,,5,4,v England,Southampton,Away,22-Sep-10,Loss,8,0,48,19,19,7,0,0.765625,2.150337916,Dead/Flat,2,Clear,2.150337916,2,0
10,1,42,2,4.2,21,30,3,5,v South Africa,Abu Dhabi,Home,29-Oct-10,Loss,10,0,60,33,22,2,0,0.841666667,2.320230807,Dusty/Dry,1,Sunny,4.320230807,4,1
5,0,35,0,7,,,3,5,v South Africa,Abu Dhabi,Home,31-Oct-10,Win,5,0,30,10,14,2,0,0.716666667,2.047596501,Dusty/Dry,1,Sunny,2.047596501,2,0
6,0,36,0,6,,,3,5,v South Africa,Dubai (DSC),Home,02-Nov-10,Loss,6,0,36,13,16,3,0,0.736111111,2.087800483,Dusty/Dry,1,Sunny,2.087800483,2,0
8,0,31,1,3.87,31,48,,1,v Canada,Colombo (RPS),Neutral,03-Mar-11,Win,8,0,48,30,17,1,1,0.90625,2.47502377,Dusty/Dry,1,Sunny,3.47502377,3,1
8,1,18,2,2.25,9,24,8,3,v West Indies,Mirpur,Neutral,23-Mar-11,Win,8,0,48,38,7,2,0,0.921875,2.513999723,Green,1.5,Sunny,4.513999723,4,1
10,0,44,2,4.4,22,30,2,5,v India,Mohali,Away,30-Mar-11,Loss,10,0,60,33,21,2,0,0.829166667,2.291408437,Dead/Flat,2,Sunny,4.291408437,4,1
10,2,24,1,2.4,24,60,9,3,v West Indies,Gros Islet,Away,23-Apr-11,Win,10,0,60,40,19,1,0,0.9125,2.49054111,Dead/Flat,2,Clear,3.49054111,3,1
10,3,23,2,2.3,11.5,30,9,3,v West Indies,Gros Islet,Away,25-Apr-11,Win,10,0,60,47,10,1,0,0.916666667,2.500940014,Dead/Flat,2,Clear,4.500940014,4,1
8.4,0,29,3,3.34,9.66,17.3,9,3,v West Indies,Bridgetown,Away,28-Apr-11,Win,8,4,52,36,11,3,0,0.879807692,2.410436116,Dead/Flat,2,Overcast,5.410436116,5,1
4,0,16,0,4,,,9,3,v West Indies,Bridgetown,Away,02-May-11,Loss,4,0,24,12,8,4,0,0.833333333,2.300975891,Dead/Flat,2,Overcast,2.300975891,2,0
7,0,33,0,4.71,,,9,3,v West Indies,Providence,Away,05-May-11,Loss,7,0,42,27,10,0,0,0.821428571,2.273745727,Dusty/Dry,1,Clear,2.273745727,2,0
3,1,7,3,2.33,2.33,6,10,2,v Ireland,Belfast,Away,28-May-11,Win,3,0,18,13,1,0,0,0.763888889,2.146607929,Green,1.5,Overcast,5.146607929,5,1
10,0,35,4,3.5,8.75,15,10,2,v Ireland,Belfast,Away,30-May-11,Win,10,0,60,35,16,5,0,0.825,2.281880765,Green,1.5,Clear,6.281880765,6,1
10,0,48,1,4.8,48,60,11,2,v Zimbabwe,Bulawayo,Away,08-Sep-11,Win,10,0,60,31,20,4,1,0.804166667,2.234833361,Dead/Flat,2,Clear,3.234833361,3,1
10,0,42,0,4.2,,,11,2,v Zimbabwe,Harare,Away,11-Sep-11,Win,10,0,60,32,23,1,1,0.833333333,2.300975891,Green,1.5,Clear,2.300975891,2,0
6,0,21,2,3.5,10.5,18,3,5,v Sri Lanka,Dubai (DSC),Home,11-Nov-11,Win,6,0,36,23,11,0,1,0.875,2.398875294,Green,1.5,Sunny,4.398875294,4,1
10,0,61,3,6.1,20.33,20,3,5,v Sri Lanka,Dubai (DSC),Home,14-Nov-11,Loss,10,0,60,30,20,3,1,0.779166667,2.179655129,Dusty/Dry,1,Sunny,5.179655129,5,1
10,0,42,3,4.2,14,20,3,5,v Sri Lanka,Dubai (DSC),Home,18-Nov-11,Win,10,0,60,34,19,6,0,0.854166667,2.349415718,Dead/Flat,2,Sunny,5.349415718,5,1
9,1,29,2,3.22,14.5,27,3,5,v Sri Lanka,Sharjah,Home,20-Nov-11,Win,9,0,54,34,17,3,0,0.893518519,2.443712791,Dusty/Dry,1,Sunny,4.443712791,4,1
10,2,26,1,2.6,26,60,3,5,v Sri Lanka,Abu Dhabi,Home,23-Nov-11,Win,10,0,60,42,16,1,0,0.908333333,2.480185444,Dead/Flat,2,Windy,3.480185444,3,1
6,2,13,1,2.16,13,36,8,3,v Bangladesh,Mirpur,Away,01-Dec-11,Win,6,0,36,30,3,1,0,0.909722222,2.48363254,Green,1.5,Sunny,3.48363254,3,1
10,1,33,1,3.3,33,60,8,3,v Bangladesh,Mirpur,Away,03-Dec-11,Win,10,0,60,29,17,0,1,0.7,2.013752707,Dusty/Dry,1,Sunny,3.013752707,3,1
7,4,6,2,0.85,3,21,8,3,v Bangladesh,Chattogram,Away,06-Dec-11,Win,7,0,42,37,6,0,0,0.988095238,2.68611319,Dusty/Dry,1,Sunny,4.68611319,4,1
10,1,32,0,3.2,,,,1,v Afghanistan,Sharjah,Home,10-Feb-12,Win,10,0,60,45,10,1,1,0.8875,2.429049431,Dusty/Dry,1,Sunny,2.429049431,2,0
